,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain
42,11.7,4.6,37,21.5,6,,E10,0,0
43,10.2,4.3,44,21.5,7,,E10,0,0
44,5.4,3.3,32,21.5,7,,SP98,0,0
45,2.0,9.9,21,21.5,4,,SP98,0,0
46,14.2,5.1,32,21.5,7,,SP98,0,0
47,16.0,4.9,25,21.5,8,,SP98,0,0
48,11.8,4.9,25,21.5,11,,SP98,0,0
49,27.3,4.7,36,21.5,10,,SP98,0,0
50,11.8,5.1,29,21.5,5,rain,SP98,0,1
51,10.6,4.9,63,21.5,6,,SP98,0,0
52,11.6,4.2,61,21.5,7,,SP98,0,0
53,13.1,6.1,46,21.5,6,rain,SP98,0,1
54,6.1,6.4,28,21.5,8,,SP98,0,0
55,153.5,4.9,82,21.5,3,rain,SP98,0,1
56,11.8,4.9,24,21.5,7,,SP98,0,0
57,12.3,6.2,61,21.5,8,,SP98,0,0
58,12.4,4.2,57,21.5,8,,SP98,0,0
59,12.3,5.7,52,21.5,8,rain,SP98,0,1
60,2.9,7.9,18,21.5,9,AC rain,SP98,1,1
61,2.1,12.2,23,21.5,9,,SP98,1,1
62,9.8,5.8,24,21.5,6,,SP98,0,0
63,6.8,5.3,26,21.5,6,,SP98,0,0
64,12.4,5.4,24,21.5,7,,SP98,0,0
65,12.4,4.7,57,21.5,8,,SP98,0,0
66,11.8,4.6,41,21.5,6,,SP98,0,0
67,12.3,5.4,55,21.5,8,,SP98,0,0
68,14.0,4.3,40,21.5,8,,SP98,0,0
69,11.8,4.5,37,21.5,4,AC,SP98,1,0
70,12.3,5.2,55,21.5,12,,SP98,0,0
71,2.0,6.2,20,21.5,10,,SP98,0,0
72,13.9,5.1,29,21.5,6,,SP98,0,0
73,9.7,3.9,42,21.5,8,,SP98,0,0
74,11.6,5.0,25,21.5,6,,SP98,0,0
75,14.2,5.4,38,21.5,7,,SP98,0,0
76,11.8,4.5,39,21.5,6,,SP98,0,0
77,24.8,5.1,50,21.5,9,,SP98,0,0
78,12.4,4.7,56,21.5,7,,SP98,0,0
79,34.8,4.0,28,20.0,4,,SP98,0,0
80,14.2,5.4,36,20.0,6,,SP98,0,0
81,5.2,4.5,39,20.0,10,,SP98,0,0
82,10.5,3.6,42,20.0,10,,SP98,0,0
83,12.3,5.2,57,20.0,10,,SP98,0,0
84,11.8,4.9,25,20.0,11,,SP98,0,0
85,12.3,6.2,58,20.0,11,rain,SP98,0,1
86,13.2,4.3,51,20.0,11,rain,SP98,0,1
87,13.0,5.0,45,20.0,11,rain,SP98,0,1
88,12.9,5.1,32,20.0,11,,SP98,0,0
89,13.9,5.6,22,20.0,8,,SP98,0,0
90,11.8,4.3,37,20.0,6,,SP98,0,0
91,12.2,5.8,60,20.0,11,,SP98,0,0
92,12.5,4.0,51,20.0,13,,SP98,0,0
93,12.4,4.7,43,,10,,SP98,0,0
94,11.8,5.9,21,20.0,9,AC rain,SP98,1,1
95,11.8,5.3,52,,11,,SP98,0,0
96,12.5,4.2,57,20.0,11,,SP98,0,0
97,15.7,5.3,33,,9,,SP98,0,0
98,12.9,5.7,35,,9,,SP98,0,0
99,6.4,4.4,37,,10,,SP98,0,0
100,5.3,4.1,34,,9,,SP98,0,0
101,26.2,5.8,71,21.0,8,AC rain,SP98,1,1
102,18.8,5.0,62,,9,rain,SP98,0,1
103,4.9,6.9,25,21.0,12,rain,SP98,0,1
104,12.4,5.4,18,21.0,11,AC rain,SP98,1,1
105,22.9,5.3,45,20.5,7,,SP98,0,0
106,162.7,5.5,75,23.0,1,,SP98,0,0
107,4.9,6.5,26,21.0,1,,SP98,0,0
108,11.8,4.7,36,21.0,4,,SP98,0,0
109,16.6,5.1,56,21.0,7,,SP98,0,0
110,12.4,5.7,37,21.0,7,,SP98,0,0
111,15.9,5.4,25,21.0,7,,SP98,0,0
112,5.1,8.7,21,23.5,5,,SP98,0,0
113,22.4,4.9,66,20.5,7,,SP98,0,0
114,31.1,4.7,42,20.5,7,,SP98,0,0
115,4.9,6.3,27,20.5,3,,SP98,0,0
116,11.8,5.1,26,23.0,4,rain,SP98,0,1
117,22.9,6.0,42,23.0,4,rain,SP98,0,1
118,12.4,4.6,38,23.0,1,snow,SP98,0,1
119,12.9,5.8,40,23.0,4,,SP98,0,0
120,11.8,5.1,43,23.0,0,,SP98,0,0
121,12.2,5.8,58,23.0,2,,SP98,0,0
122,24.8,4.6,55,23.0,3,,SP98,0,0
123,14.2,5.6,24,23.0,8,,SP98,0,0
124,11.8,4.6,38,23.0,0,snow,SP98,0,1
125,12.2,6.3,57,23.0,0,snow,SP98,0,1
126,24.7,5.5,56,25.0,1,,SP98,0,0
127,6.8,4.3,46,24.0,2,,SP98,0,0
128,17.3,5.6,37,21.5,1,,SP98,0,0
129,11.8,4.3,44,21.5,-3,,SP98,0,0
130,15.9,5.7,46,21.5,5,,SP98,0,0
131,5.1,6.4,39,21.5,4,,SP98,0,0
132,16.1,4.5,33,21.5,6,,SP98,0,0
133,11.8,4.5,43,21.5,3,,SP98,0,0
134,4.2,6.0,26,21.5,5,,SP98,0,0
135,17.4,5.1,30,21.5,5,,SP98,0,0
136,23.5,6.0,25,21.5,5,rain,SP98,0,1
137,11.8,4.5,38,21.5,5,rain,SP98,0,1
138,12.3,6.1,61,21.5,10,rain,SP98,0,1
139,16.1,5.4,24,21.5,7,rain,E10,0,1
140,11.8,4.3,40,21.5,10,rain,E10,0,1
141,12.3,5.4,58,21.5,13,,E10,0,0
142,12.4,4.3,49,21.5,17,,E10,0,0
143,7.0,5.2,25,21.5,17,,E10,0,0
144,11.8,4.1,37,21.5,10,,E10,0,0
145,20.1,4.4,41,21.5,18,,E10,0,0
146,20.8,4.5,45,21.5,10,,E10,0,0
147,1.7,10.8,14,21.5,10,rain,E10,0,1
148,35.9,4.7,45,21.5,12,,E10,0,0
149,36.9,4.8,52,21.5,5,,E10,0,0
150,16.8,4.0,46,21.5,8,,E10,0,0
151,9.9,5.0,28,21.5,9,,E10,0,0
152,22.9,4.6,61,21.5,7,rain,E10,0,1
153,17.3,5.0,61,21.5,6,AC rain,E10,1,1
154,11.8,4.3,37,21.5,7,,E10,0,0
155,36.6,5.2,80,21.5,7,rain,E10,0,1
156,44.9,4.7,62,21.5,8,,E10,0,0
157,11.8,4.2,34,21.5,9,rain,E10,0,1
158,21.6,5.3,44,21.5,9,rain,E10,0,1
159,39.4,5.3,60,21.5,9,rain,E10,0,1
160,5.1,8.1,39,21.5,4,,E10,0,0
161,26.6,4.8,38,21.5,7,,E10,0,0
162,53.2,5.1,71,21.5,2,,E10,0,0
163,18.9,4.4,53,21.5,2,,E10,0,0
164,43.5,5.0,80,21.5,3,,E10,0,0
165,6.1,6.3,26,21.5,5,,E10,0,0
166,16.4,4.8,49,21.5,5,,E10,0,0
167,12.3,6.1,40,21.5,6,,E10,0,0
168,21.1,4.6,36,21.5,8,,E10,0,0
169,21.1,4.8,43,21.5,7,,E10,0,0
170,22.7,4.7,55,21.5,6,,E10,0,0
171,44.4,4.8,38,21.5,8,,E10,0,0
172,35.8,4.4,51,21.5,6,,E10,0,0
173,11.8,4.9,44,21.5,0,,E10,0,0
174,26.2,4.9,42,21.5,6,,E10,0,0
175,40.6,4.4,44,21.0,3,,E10,0,0
176,12.4,5.3,38,21.0,-5,,E10,0,0
177,14.1,5.3,47,21.0,-3,,E10,0,0
178,58.7,4.8,75,21.0,0,,E10,0,0
179,16.2,5.2,29,21.0,0,,E10,0,0
180,12.3,4.9,50,22.5,0,,E10,0,0
181,12.3,7.1,52,22.5,0,AC snow,E10,1,1
182,12.4,5.2,51,22.5,1,,E10,0,0
183,31.8,4.7,59,22.5,3,,E10,0,0
184,12.3,5.1,55,22.5,8,,E10,0,0
185,51.6,5.0,73,22.5,12,,E10,0,0
186,38.6,4.6,44,22.5,10,,E10,0,0
187,12.3,4.8,41,22.5,7,,E10,0,0
188,81.2,4.4,69,22.0,13,,E10,0,0
189,130.3,4.6,85,22.0,12,,E10,0,0
190,67.2,4.3,67,22.0,18,,E10,0,0
191,43.7,4.7,44,22.0,9,half rain half sun,SP98,0,1
192,12.1,4.2,43,22.0,4,,SP98,0,0
193,56.1,4.8,82,22.0,13,,SP98,0,0
194,39.0,4.1,61,22.0,16,,SP98,0,0
195,11.8,4.5,41,21.5,13,,SP98,0,0
196,38.5,4.8,63,21.5,14,,SP98,0,0
197,28.2,4.6,54,21.5,14,,SP98,0,0
198,2.9,7.4,24,21.5,14,,SP98,0,0
199,6.1,5.6,24,21.5,13,,SP98,0,0
200,19.6,4.9,43,21.5,13,,SP98,0,0
201,22.2,3.8,42,,15,,SP98,0,0
202,13.6,4.5,44,19.0,18,,SP98,0,0
203,12.6,4.1,33,,17,,SP98,0,0
204,8.7,5.3,28,22.5,12,AC rain,SP98,1,1
205,7.9,4.7,31,22.5,12,AC,SP98,1,0
206,2.4,9.0,26,20.0,10,,SP98,0,0
207,4.9,6.3,26,20.0,10,,SP98,0,0
208,18.1,3.6,36,20.0,19,,SP98,0,0
209,25.9,3.7,39,20.0,21,,SP98,0,0
